POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA3469,25,22,9,8,3,9,7,16,0,91
POA3472,62,45,67,59,36,40,42,84,9,437
POA3475,52,3,7,14,5,3,8,14,5,114
POA3477,138,51,37,37,33,15,32,47,3,378
POA3478,164,119,129,148,102,90,65,190,17,1026
POA3480,205,108,83,70,62,50,61,126,17,781
POA3482,34,7,3,0,6,0,0,0,0,60
POA3483,139,82,44,38,30,26,29,35,11,436
POA3485,53,13,5,5,6,8,5,10,0,108
POA3487,20,3,8,6,0,0,0,7,0,41
POA3488,16,0,3,6,4,0,3,5,0,40
POA3489,7,5,6,3,0,0,0,0,0,23
POA3490,158,71,59,56,30,25,61,63,18,550
POA3491,28,3,0,6,0,3,5,6,0,57
POA3494,88,16,23,15,21,3,26,105,11,314
POA3496,475,323,412,307,260,259,267,461,79,2847
POA3498,482,431,460,328,351,315,188,313,69,2928
POA3500,1707,2724,1887,1953,1543,1445,942,2247,361,14809
POA3501,201,216,164,94,131,107,57,102,24,1104
POA3505,318,285,334,241,234,208,190,300,62,2170
POA3506,8,0,0,3,0,0,0,3,0,17
POA3507,20,10,0,6,5,0,3,3,0,51
POA3509,44,12,6,16,11,3,3,12,0,104
POA3512,74,25,6,13,12,4,15,27,0,178
POA3515,167,188,210,185,168,124,89,136,20,1299
POA3516,103,43,45,30,43,35,24,33,8,371
POA3517,114,56,65,57,55,36,52,92,10,538
POA3518,122,48,39,44,50,34,46,65,9,456
POA3520,4,0,4,4,0,0,0,9,0,30
POA3521,64,39,76,40,48,22,39,38,8,377
POA3522,39,21,21,14,20,11,6,15,4,157
POA3523,222,212,228,135,154,107,129,184,42,1410
POA3525,150,67,67,48,55,38,47,79,3,558
POA3527,93,39,35,23,38,20,15,41,3,311
POA3529,24,9,8,6,10,0,4,0,0,60
POA3530,27,6,5,4,5,0,7,9,3,59
POA3531,26,13,6,9,3,0,14,11,0,80
POA3533,93,41,28,20,26,22,27,47,4,302
POA3537,130,55,41,43,34,29,37,50,9,412
POA3540,48,4,4,8,0,3,4,21,0,100
POA3542,26,0,4,3,5,7,4,6,0,60
POA3544,52,17,13,8,4,6,6,9,0,114
POA3546,62,27,13,16,10,4,13,24,7,171
POA3549,352,94,137,84,128,68,166,555,85,1670
POA3550,2062,5073,2354,2665,2167,1722,969,2139,307,19460
POA3551,2348,3950,2593,2139,2286,1538,1065,1647,270,17829
POA3555,810,1614,1278,1307,1092,907,603,1350,145,9108
POA3556,498,871,955,966,642,570,499,967,123,6108
POA3557,86,45,88,51,47,24,36,48,6,426
POA3558,96,38,49,37,32,21,40,44,4,365
POA3559,107,35,14,18,21,11,12,35,6,262
POA3561,415,235,268,216,155,150,167,284,36,1933
POA3562,23,13,12,9,11,8,12,18,5,126
POA3563,100,27,48,47,28,37,31,57,9,369
POA3564,1070,1271,1274,1094,798,812,505,982,119,7929
POA3565,21,13,6,3,4,6,5,8,0,63
POA3566,69,29,34,27,25,13,19,49,6,270
POA3567,106,23,36,22,23,18,23,63,7,327
POA3568,271,172,176,118,120,95,102,171,29,1242
POA3570,81,30,58,28,32,25,33,53,7,353
POA3571,76,19,9,8,8,3,7,13,3,158
POA3572,35,11,3,8,6,7,5,4,0,71
POA3573,75,8,8,8,7,5,11,35,5,167
POA3575,137,29,31,35,19,11,18,85,6,375
POA3576,27,0,0,0,0,0,0,0,0,34
POA3579,447,301,318,243,201,170,166,297,50,2195
POA3580,53,49,59,57,41,38,49,63,9,419
POA3581,17,4,12,6,4,9,10,11,0,66
POA3583,20,7,9,11,6,4,6,10,4,75
