POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA3441,5,3,0,0,3,0,3,0,0,16,0,4,0,9,0,3,0,8,6,30,50,102,75,45,101,153,43,123,19,708
POA3442,7,25,15,18,8,18,3,14,0,115,16,28,8,4,15,26,8,21,17,142,261,684,455,376,547,862,261,553,60,4053
POA3444,11,31,12,20,27,35,11,18,0,171,5,32,12,9,25,27,11,19,27,167,293,806,538,455,696,940,273,690,78,4763
POA3446,0,0,5,6,6,0,0,0,0,13,0,0,6,0,0,4,3,0,4,20,26,98,69,60,84,108,27,52,0,535
POA3447,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,11,17,47,30,21,29,42,8,30,15,253
POA3448,0,3,0,6,3,5,0,0,0,19,0,0,0,0,0,6,0,0,0,17,48,86,68,38,67,79,21,64,3,468
POA3450,4,14,16,17,13,9,7,6,0,85,5,24,11,11,16,23,6,14,11,110,149,568,476,329,417,479,127,272,38,2836
POA3451,4,12,13,9,18,23,9,12,0,112,9,15,14,12,16,15,0,4,10,94,149,527,398,286,384,480,136,275,41,2682
POA3453,4,4,5,0,0,10,0,0,0,31,0,0,3,0,0,4,0,5,5,27,56,147,133,92,114,180,42,109,30,903
POA3458,4,4,4,3,3,0,0,0,0,26,5,5,4,5,4,3,0,4,0,37,81,171,149,99,142,181,61,152,19,1059
POA3460,0,7,5,0,5,4,0,5,0,36,3,9,3,0,9,9,0,6,9,54,54,245,181,123,186,194,59,119,14,1178
POA3461,0,16,10,4,8,8,0,7,0,58,7,19,12,4,8,11,3,9,10,84,147,420,303,195,273,343,129,274,38,2119
POA3462,0,0,4,0,5,3,0,0,0,15,5,3,0,0,0,6,0,4,3,20,30,94,92,54,71,90,19,56,24,522
POA3463,3,3,0,0,6,6,0,3,0,34,9,4,3,5,4,7,0,3,9,46,69,181,148,103,159,184,50,141,25,1060
POA3464,0,5,5,0,5,3,0,3,0,19,4,4,0,0,0,3,0,0,5,18,23,107,59,43,83,84,30,57,14,512
POA3465,10,23,13,10,24,16,7,22,0,134,12,15,10,7,32,30,5,18,27,157,193,623,429,365,712,631,151,354,85,3536
POA3467,0,0,0,0,0,4,0,3,0,17,0,0,4,0,8,8,3,0,10,25,31,64,67,51,65,79,22,79,13,469
POA3468,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,14,5,17,13,16,16,21,8,17,4,115
POA3469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,10,6,13,17,4,24,7,91
POA3472,3,3,7,0,3,6,0,0,0,14,3,5,8,3,5,5,5,0,10,37,40,68,73,36,61,78,22,54,11,437
POA3475,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,6,3,4,15,15,7,9,22,9,28,4,114
POA3477,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,5,20,52,43,32,43,57,21,105,9,378
POA3478,3,4,0,6,9,8,6,0,0,32,7,6,3,3,5,4,0,3,0,33,60,166,140,89,184,181,54,130,19,1026
POA3480,0,3,0,0,4,3,4,4,0,27,7,5,0,0,3,12,0,3,8,31,29,131,75,67,91,173,46,154,19,781
POA3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,5,10,5,18,0,60
POA3483,0,3,0,3,3,4,0,0,0,19,0,9,0,0,0,3,0,0,8,18,17,64,49,38,51,77,20,99,17,436
POA3485,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,9,12,8,7,21,8,30,3,108
POA3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,3,3,5,5,9,0,41
POA3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,5,0,3,13,0,40
POA3489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,3,9,0,23
