POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA3148,169,13,181,1579,335,25,1945,5662,442,8044
POA3149,1109,73,1186,6464,1425,77,7962,20232,1147,29344
POA3150,2181,366,2567,10606,3073,135,13816,36991,2389,53198
POA3151,354,11,372,1654,477,12,2145,6712,359,9214
POA3152,967,179,1139,6040,2100,123,8261,19688,1071,29027
POA3153,432,177,612,3714,971,98,4788,11858,935,17577
POA3154,106,9,115,879,250,19,1152,2336,145,3634
POA3155,469,42,517,4086,1217,98,5403,13268,953,19623
POA3156,591,73,670,6672,2012,193,8882,21685,1214,31780
POA3158,57,3,56,1398,412,48,1859,3490,152,5497
POA3159,22,0,20,513,158,24,692,1284,108,2090
POA3160,66,5,73,1817,530,50,2400,4707,248,7355
POA3161,501,75,580,2607,1021,62,3688,9814,741,14245
POA3162,579,59,649,3186,977,87,4248,10063,639,14950
POA3163,588,120,718,5404,1002,79,6482,20348,1251,28081
POA3165,789,40,830,6312,1106,100,7516,15688,806,24008
POA3166,667,27,699,4173,849,51,5070,15008,856,20938
POA3167,251,10,271,1704,383,19,2109,5793,312,8214
POA3168,394,134,525,2106,439,32,2582,15551,1819,19946
POA3169,530,36,575,2954,793,52,3797,13105,934,17832
POA3170,434,86,519,3515,877,41,4440,11147,782,16370
POA3171,533,78,614,2778,653,46,3479,14166,1307,18954
POA3172,496,47,552,3577,1112,65,4747,13735,836,19326
POA3173,418,34,456,5318,1248,86,6653,16563,904,24118
POA3174,797,65,868,5618,1210,101,6938,24029,2214,33176
POA3175,1104,123,1233,7530,1718,109,9355,30627,3881,43865
POA3177,181,22,200,1669,340,44,2053,6611,902,9564
POA3178,514,43,554,5850,1638,116,7606,19585,755,27949
POA3179,58,3,64,1055,319,31,1402,3418,189,5006
POA3180,125,4,129,1366,382,28,1779,4392,198,6368
POA3181,336,212,555,1897,531,37,2461,14389,1259,18112
POA3182,158,24,184,2023,670,45,2736,16273,1760,20762
POA3183,205,18,225,2501,670,100,3270,10959,981,15208
POA3184,125,22,147,2204,561,46,2809,9522,848,13172
POA3185,266,21,288,2332,511,38,2885,7833,429,11144
POA3186,817,133,958,3873,1371,74,5319,13451,869,19635
POA3187,744,106,854,3296,706,54,4055,8950,587,13592
POA3188,354,33,394,3417,810,73,4299,10369,652,15323
POA3189,142,19,161,1230,244,25,1496,3352,267,5121
POA3190,264,32,291,2352,411,39,2800,6619,378,9797
POA3191,420,57,488,1859,606,39,2504,6268,420,9192
POA3192,850,96,954,4645,929,85,5663,13285,835,19783
POA3193,573,51,631,3539,1309,88,4925,11279,542,16744
POA3194,371,35,403,2253,585,50,2888,7897,358,11144
POA3195,800,59,863,7214,1855,162,9228,20253,913,30392
POA3196,665,46,718,4967,1241,152,6357,14649,1028,22036
POA3197,231,16,252,2030,678,47,2756,6913,367,10036
POA3198,325,61,385,2997,821,120,3939,9312,936,14187
POA3199,1211,334,1559,9263,3013,318,12597,30507,3259,46362
POA3200,185,15,194,738,244,44,1030,3121,536,4692
POA3201,349,75,423,3918,969,105,4984,11857,920,17764
POA3202,31,14,43,586,99,8,691,1409,148,2250
POA3204,613,43,665,6522,1250,88,7869,18220,977,27069
POA3205,210,68,278,1429,371,29,1827,7716,668,10211
POA3206,211,28,231,1855,515,40,2411,5618,325,8353
POA3207,219,22,240,2629,724,70,3418,10711,1077,15199
POA3211,10,0,16,192,81,0,274,704,119,1095
POA3212,267,19,291,3456,982,103,4546,9325,1683,15553
POA3213,40,4,45,780,292,17,1092,2553,193,3836
POA3214,395,52,453,3110,1110,135,4347,13940,1906,20197
POA3215,759,73,839,3270,1294,108,4674,12856,958,18481
POA3216,1735,210,1953,10205,3339,278,13825,33787,2188,49798
POA3217,158,6,168,4753,937,116,5806,9064,621,15490
POA3218,212,25,239,2744,797,84,3623,8031,533,12188
POA3219,495,64,561,2620,1105,100,3823,12377,1155,17357
