POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA3175,13371,13239,26607,1740,1487,3230,197,143,341,5137,4370,9500,90,66,154,114,71,180,100,66,163,17,26,46,19,14,30,8,12,18,0,0,0,5678,4766,10442,2629,2812,5445,179,117,295,10231,9177,19411,2233,1831,4065,25832,24247,50079
POA3177,2718,2615,5331,311,232,539,54,19,79,1478,1164,2644,24,24,48,32,19,54,29,14,44,7,8,14,3,3,9,0,0,6,0,0,0,1628,1269,2893,529,598,1129,50,33,86,2525,2128,4653,559,450,1010,5795,5197,10993
POA3178,11202,11572,22771,329,360,695,76,75,153,3026,3100,6128,56,58,113,29,38,69,22,18,39,4,8,14,13,5,11,12,10,20,0,0,0,3231,3311,6547,480,563,1048,71,71,144,4116,4304,8426,402,387,784,15715,16264,31976
POA3179,1912,1892,3808,111,112,231,11,14,26,616,587,1198,4,6,9,10,10,24,4,4,10,5,3,3,4,0,3,0,0,0,0,0,0,653,624,1278,126,135,258,10,10,16,902,880,1783,94,96,189,2911,2869,5779
POA3180,2211,2322,4540,132,138,273,19,15,28,872,908,1783,12,9,22,7,7,11,4,7,12,0,0,7,0,0,0,0,0,0,0,0,0,913,949,1863,161,163,325,20,24,42,1227,1275,2497,103,115,216,3544,3713,7251
POA3181,3309,3530,6833,530,489,1018,272,306,571,3015,3078,6095,153,202,355,67,66,129,99,128,225,40,37,80,7,11,23,30,33,59,0,0,0,3680,3855,7532,1004,1077,2080,109,85,194,5323,5504,10829,621,662,1285,9253,9700,18951
POA3182,3862,3749,7605,545,537,1084,272,307,580,3204,3354,6555,152,177,330,56,47,104,89,102,188,32,32,69,10,19,34,34,35,67,0,0,0,3853,4078,7929,1502,1528,3031,141,124,270,6042,6269,12313,1027,830,1856,10933,10847,21777
POA3183,3704,3850,7549,506,549,1054,168,159,328,2271,2505,4772,83,73,161,33,31,69,56,67,121,26,14,36,8,10,20,24,26,51,0,0,0,2669,2885,5550,882,827,1713,86,70,157,4142,4333,8472,491,457,946,8334,8636,16970
POA3184,2890,3105,5998,561,645,1202,124,169,292,2053,2312,4357,52,91,142,18,32,49,41,53,95,8,18,23,4,11,17,15,18,30,0,0,0,2309,2698,5005,552,677,1233,59,55,116,3482,4078,7560,432,463,899,6805,7654,14457
POA3185,3134,3533,6664,255,285,543,78,94,177,1703,1896,3595,49,72,121,21,26,43,27,24,52,4,10,15,8,6,12,16,9,21,0,0,0,1895,2139,4027,430,497,928,45,43,90,2625,2967,5596,207,247,456,5967,6750,12718
