POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA3453,15,29,5,5,0,73,17,20,46,31,31,0,144,3,0,0,4,0,0,15,0,0,4,6,15,0,19,0,0,3,0,7,4,12,65,50,181,106,214,20,631
POA3458,11,37,6,12,0,99,19,15,59,25,20,0,133,3,0,15,3,4,0,26,4,0,0,3,10,0,21,5,0,8,0,10,3,20,109,56,255,128,234,23,806
POA3460,16,20,11,4,0,78,21,15,52,32,28,4,156,0,0,4,4,9,0,21,3,0,8,8,15,0,28,0,0,16,6,15,5,38,114,58,283,162,225,27,872
POA3461,34,55,9,11,0,151,44,14,82,59,44,15,257,3,4,19,9,10,0,45,3,0,5,14,27,0,53,5,4,12,9,18,6,47,203,115,446,271,444,48,1532
POA3462,9,23,3,0,0,50,8,7,18,18,6,0,58,0,3,6,3,0,0,10,0,0,5,3,7,0,13,0,3,6,0,7,0,12,42,31,100,58,125,11,356
POA3463,18,27,12,12,0,75,20,6,48,27,34,5,136,3,4,7,0,0,0,14,0,0,4,4,13,0,26,3,0,10,3,17,3,34,83,46,189,116,306,36,773
POA3464,3,13,3,8,0,30,3,3,17,22,20,3,71,0,0,0,0,5,0,3,0,0,0,0,13,0,17,0,0,0,0,6,0,10,8,11,51,61,161,11,309
POA3465,22,97,25,44,3,213,29,26,128,104,195,19,498,0,0,12,4,6,0,20,6,3,7,10,73,4,96,0,0,3,6,44,16,68,66,85,393,305,1158,104,2111
POA3467,4,12,0,4,0,20,0,5,12,18,21,0,63,0,0,4,0,0,0,7,0,0,0,0,8,0,15,0,0,0,4,3,5,12,14,13,56,47,151,13,294
POA3468,0,4,0,0,0,3,0,0,5,4,4,0,12,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,3,4,0,9,5,3,15,12,33,0,71
POA3469,0,3,0,0,0,6,4,3,8,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,13,12,24,0,64
POA3472,4,11,4,0,0,17,5,0,8,16,13,0,43,0,0,3,0,0,0,6,0,0,0,0,11,0,12,0,0,0,3,10,7,18,7,8,39,54,145,11,259
POA3475,0,0,0,0,0,6,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,6,16,40,3,69
POA3477,0,10,8,0,0,19,0,3,3,5,9,3,27,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,0,3,5,10,47,40,116,12,239
POA3478,4,21,7,8,0,50,8,10,38,34,58,5,147,0,0,0,0,4,0,5,0,0,4,0,17,0,27,0,0,3,0,15,0,17,23,24,105,94,307,40,596
POA3480,9,24,3,13,0,46,6,0,26,21,22,8,88,0,0,5,3,0,0,10,0,0,0,3,6,0,18,0,0,4,6,3,3,9,14,17,95,73,235,38,470
POA3482,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,5,29
POA3483,11,17,3,5,3,39,6,3,19,10,8,4,48,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,13,9,85,45,119,8,283
POA3485,0,3,0,0,0,8,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,10,12,31,3,62
POA3487,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,22
POA3488,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,0,27
POA3489,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,15
POA3490,0,28,6,6,0,44,3,0,23,8,28,4,66,0,0,0,0,0,0,0,0,0,3,3,6,0,13,0,0,0,0,10,4,14,13,12,66,48,172,12,319
POA3491,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,24,0,37
POA3494,0,0,0,5,0,3,0,0,4,3,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,19,23,81,9,142
POA3496,30,66,27,33,3,177,16,16,62,61,85,0,247,0,0,3,3,7,0,12,0,0,9,8,72,3,89,0,0,9,10,32,23,71,53,66,270,273,931,89,1675
