POA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA3266,0,0,0,0,0,0,0,0,0,27,37,10,70,0,6,6,70,44,0,117
POA3267,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,6,0,0,3
POA3268,0,0,0,0,0,0,0,0,3,20,20,3,42,0,4,4,41,29,3,74
POA3269,0,0,0,0,0,0,0,0,0,4,11,0,15,0,0,0,23,3,0,23
POA3270,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,6,4,0,6
POA3271,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,5,0,0,9
POA3272,0,0,0,0,0,0,0,0,0,18,24,0,44,0,0,0,47,25,0,77
POA3273,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6
POA3274,0,0,0,0,0,0,0,0,0,6,5,0,9,0,0,0,10,9,0,14
POA3275,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,8,6,0,14
POA3276,0,0,0,0,0,0,0,0,0,3,4,0,15,0,0,0,15,5,0,16
POA3277,0,0,0,0,0,0,0,0,0,27,9,4,35,0,0,0,39,21,0,62
POA3278,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,8,0,12
POA3279,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,3
POA3280,0,4,0,0,0,4,11,7,18,441,493,81,1012,21,27,48,1057,492,24,1576
POA3281,0,0,0,0,0,0,0,0,0,20,12,0,29,0,0,0,30,20,0,50
POA3282,0,0,0,0,0,0,0,4,3,21,44,4,67,0,4,5,72,30,5,104
POA3283,0,0,0,0,0,0,0,0,3,14,15,7,34,0,0,0,38,12,0,44
POA3284,0,6,0,0,0,6,0,0,7,29,31,3,71,5,3,7,80,42,3,129
POA3285,0,0,0,0,0,0,0,0,0,4,11,0,17,0,0,0,17,13,0,32
POA3286,0,0,0,0,0,0,0,0,0,4,4,0,11,0,0,0,16,4,0,14
POA3287,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,6,0,0,6
POA3289,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,10,0,19
POA3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
POA3293,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,4,0,8
POA3294,0,0,0,0,0,0,0,0,0,9,8,0,18,0,0,0,25,5,0,24
POA3300,0,0,0,0,0,0,3,5,5,119,124,17,256,5,8,13,273,158,8,442
POA3301,0,0,0,0,0,0,0,0,0,10,5,0,15,0,0,0,15,10,0,24
POA3302,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,10,9,0,15
POA3303,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,5
POA3304,0,0,0,0,0,0,0,3,3,32,31,0,69,0,0,3,75,38,3,117
POA3305,0,3,0,0,0,3,5,6,11,143,140,23,314,13,21,28,342,244,11,603
POA3309,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,8
POA3310,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,7
POA3311,0,0,0,0,0,0,0,6,6,14,11,0,25,0,0,0,27,23,4,55
POA3312,0,0,0,0,0,0,0,0,0,6,5,0,13,0,0,0,12,9,0,22
POA3314,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,6,6,0,16
POA3315,0,0,0,0,0,0,0,0,0,20,20,4,45,5,0,5,44,22,0,71
POA3317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
POA3318,0,0,0,0,0,0,0,0,0,4,4,6,19,0,0,0,19,17,0,37
POA3319,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,4
POA3321,0,0,0,0,0,0,0,0,0,13,12,0,28,0,0,0,28,13,0,36
POA3322,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,0,9
POA3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA3324,0,0,0,0,0,0,0,0,0,3,4,0,10,0,0,0,10,8,0,16
POA3325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,13
POA3328,0,0,0,0,0,0,0,0,0,12,12,3,35,0,4,4,31,12,5,50
POA3329,0,0,0,0,0,0,0,0,0,5,7,0,8,0,0,0,8,0,0,11
POA3330,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,5,0,11
POA3331,0,0,0,0,0,0,0,0,0,77,75,8,166,3,0,0,171,63,5,233
POA3332,0,0,0,0,0,0,0,0,0,18,11,0,27,0,0,0,25,10,0,35
POA3333,0,0,0,0,0,0,0,0,0,10,7,4,15,0,0,0,15,15,0,38
POA3334,0,0,0,0,0,0,0,0,0,12,9,3,18,0,0,0,18,4,0,19
POA3335,0,0,0,0,0,0,0,0,4,71,46,10,127,9,10,13,150,79,0,230
POA3336,5,3,0,0,0,3,4,3,7,225,113,27,366,8,5,18,386,164,3,559
POA3337,3,12,0,0,0,10,21,16,49,540,488,106,1133,69,83,149,1284,1130,24,2439
POA3338,4,5,0,0,0,12,14,9,34,443,334,78,854,58,50,110,956,803,22,1775
POA3340,0,0,0,0,0,6,4,5,15,389,259,41,684,25,23,44,727,420,15,1156
POA3341,0,0,0,0,0,0,0,0,3,19,13,3,32,0,0,0,34,21,0,53
POA3342,0,0,0,0,0,0,0,0,0,52,39,10,96,3,0,3,98,67,0,170
POA3345,0,0,0,0,0,0,0,0,3,13,15,4,26,0,0,0,29,18,0,48
POA3350,0,10,0,0,0,10,10,10,34,900,864,106,1871,71,71,145,2010,1054,21,3091
POA3351,0,3,0,0,0,3,0,4,8,83,74,13,174,0,4,11,182,107,5,298
POA3352,0,0,0,0,0,0,0,8,9,191,145,25,363,5,6,19,379,199,8,581
POA3355,0,3,5,0,5,8,16,16,34,167,205,30,399,18,23,39,440,406,24,869
POA3356,0,3,3,0,3,5,12,11,27,235,295,50,581,28,25,50,636,447,18,1103
POA3357,0,0,0,0,0,0,0,0,0,44,34,4,88,0,0,0,88,41,0,127
POA3358,0,0,0,0,0,0,0,0,0,32,56,7,90,0,3,0,93,47,0,137
POA3360,0,0,0,0,0,0,0,0,3,7,4,3,16,3,0,5,14,16,0,37
POA3361,0,0,0,0,0,0,0,4,7,5,9,0,12,0,0,0,11,15,4,37
POA3363,0,0,0,0,0,0,0,0,0,28,40,9,82,4,0,3,87,62,0,148
POA3364,0,0,0,0,0,0,0,0,0,15,16,0,36,0,0,0,36,24,0,59
POA3370,0,0,0,0,0,0,0,0,0,13,26,5,42,3,0,9,49,47,0,99
POA3371,0,0,0,0,0,0,0,0,0,12,5,0,18,0,0,0,23,26,0,52
POA3373,0,0,0,0,0,0,0,4,3,23,16,5,50,0,0,0,51,47,4,104
POA3374,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,3,4,0,13
POA3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
POA3377,0,0,0,0,0,0,3,0,6,111,110,18,242,13,9,17,266,158,3,426
POA3378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA3379,0,0,0,0,0,0,0,0,0,7,7,0,11,0,0,0,7,15,0,27
POA3380,0,0,0,0,0,0,6,5,10,50,66,9,127,0,0,0,129,121,4,259
POA3381,0,0,0,0,0,0,0,0,0,11,9,0,19,0,0,0,19,14,0,34
POA3384,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,8,13,0,15
POA3385,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,8,0,11
POA3387,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,5
POA3388,0,0,0,0,0,0,0,0,0,8,3,0,9,0,0,3,11,8,0,19
POA3390,0,0,0,0,0,0,0,0,4,7,9,0,20,0,0,0,20,27,0,43
POA3391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
POA3392,0,0,0,0,0,0,0,0,0,4,6,0,14,0,0,0,14,12,0,25
POA3393,0,0,0,0,0,0,0,0,4,25,33,8,60,0,0,0,60,45,3,112
POA3395,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,9
POA3396,0,0,0,0,0,0,0,0,0,9,4,0,14,0,0,0,16,10,0,23
POA3400,4,4,0,0,0,4,5,8,10,184,198,36,412,8,13,23,434,286,11,734
POA3401,0,0,0,0,0,0,0,3,3,34,25,3,67,0,0,0,67,34,8,106
POA3407,0,0,0,0,0,0,0,0,0,9,4,0,4,0,0,0,9,0,0,10
POA3409,0,0,0,0,0,0,0,0,0,12,12,0,24,0,0,0,22,8,0,30
