POA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA3260,907,17,0,0,0,926,544,3,0,0,4,553,130,36,0,0,0,164,21,21,0,0,0,40,3,0,0,0,0,3,108,7,0,0,0,120,27,0,0,0,0,30,6,0,0,0,0,4,301,64,3,0,0,369,60,0,0,0,0,60,26,9,0,0,0,36,1835,94,5,3,4,1939
POA3264,394,16,0,0,0,415,262,5,0,4,0,272,68,15,0,0,0,80,13,12,0,0,0,23,0,0,0,0,0,4,53,8,4,0,0,59,16,0,0,0,0,13,0,0,0,0,0,0,138,36,4,3,0,188,24,0,0,0,0,24,15,3,0,0,0,28,842,64,3,7,0,926
POA3265,377,0,0,0,0,377,344,0,0,0,0,344,30,0,0,0,0,30,4,0,0,0,0,4,9,0,0,0,0,9,70,0,0,0,0,70,37,0,0,0,0,37,9,0,0,0,0,9,155,0,0,0,0,155,79,0,0,0,0,85,19,0,0,0,0,19,977,0,0,0,0,977
POA3266,512,9,0,4,0,522,343,9,0,0,0,346,54,19,0,0,0,69,9,15,0,0,0,20,0,0,0,0,0,0,87,7,0,0,0,94,17,0,0,0,0,22,0,0,0,0,0,0,169,36,0,0,0,209,65,0,0,0,0,65,26,0,0,0,0,26,1099,56,0,5,5,1161
POA3267,30,0,0,0,0,27,26,0,0,0,0,26,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,12,0,0,0,0,12,6,0,0,0,0,6,75,0,0,0,0,73
POA3268,423,5,0,0,0,423,276,0,0,0,0,275,54,4,0,0,0,61,0,3,0,0,0,3,0,0,0,0,0,0,58,0,0,0,0,58,42,0,0,0,3,46,0,0,0,0,0,0,158,4,0,0,3,169,77,0,0,0,0,77,12,0,0,0,0,18,941,11,0,0,4,956
POA3269,101,0,0,0,0,102,66,0,0,0,0,67,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,26,7,0,0,0,0,10,0,0,0,0,0,0,38,0,0,4,0,42,22,0,0,0,0,22,5,0,0,0,0,8,237,4,0,0,0,243
POA3270,76,0,0,0,0,78,29,0,0,0,0,29,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,7,0,0,0,0,7,3,0,0,0,0,3,132,0,0,0,0,137
POA3271,36,0,0,0,0,40,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,20,10,0,0,0,0,13,0,0,0,0,0,0,70,0,0,0,0,72
POA3272,304,0,0,0,0,308,199,0,0,0,0,199,48,0,0,0,0,48,0,0,0,0,0,0,0,3,0,0,0,3,51,0,0,0,0,51,12,0,0,0,0,8,0,0,0,0,0,0,107,8,0,0,0,118,29,0,0,0,0,27,17,0,0,0,0,14,647,14,0,0,0,664
POA3273,20,0,0,0,0,20,12,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,0,0,5,0,0,0,0,0,0,45,0,0,0,0,45
POA3274,49,0,0,3,0,53,13,0,0,0,0,18,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,6,0,0,0,0,6,0,0,0,0,0,0,19,0,0,0,0,19,3,0,0,0,0,3,0,0,0,0,0,0,92,0,0,3,0,96
POA3275,53,0,0,0,0,53,78,0,0,0,0,78,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,4,147,0,0,0,0,147
POA3276,69,0,0,0,0,66,62,0,0,0,0,62,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,11,0,0,0,0,11,0,0,0,0,0,0,25,0,0,0,0,25,9,0,0,0,0,12,0,0,0,0,0,0,165,0,0,0,0,166
POA3277,236,0,0,41,0,280,223,0,0,19,0,244,36,0,0,4,0,45,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,32,11,0,0,0,0,13,0,0,0,0,0,0,82,0,0,9,0,91,25,0,0,5,0,26,15,0,0,0,0,10,582,0,0,69,0,654
