POA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3328,..,83,83,211,6,221,134,0,138,171,0,171,77,0,77,35,0,35,626,91,718
POA3329,..,18,18,38,0,40,13,0,13,26,0,26,3,0,3,4,0,4,88,20,106
POA3330,..,24,24,28,0,28,10,0,13,6,0,6,7,0,7,0,0,0,52,25,79
POA3331,..,302,302,729,22,749,368,0,370,518,0,518,263,0,263,89,0,89,1965,325,2294
POA3332,..,61,61,117,4,123,65,0,65,67,0,67,28,0,28,28,0,28,309,70,377
POA3333,..,70,70,109,7,113,49,0,52,47,0,47,26,0,26,11,0,11,240,76,315
POA3334,..,73,73,72,0,78,24,0,21,27,0,31,12,0,12,5,0,5,138,78,209
POA3335,..,409,409,559,40,598,422,17,440,364,0,365,162,3,165,94,0,99,1608,467,2077
POA3336,..,493,493,975,46,1025,1144,14,1158,1450,0,1450,634,0,636,334,0,334,4547,556,5104
POA3337,..,3010,3010,3685,302,3984,2424,32,2460,2269,10,2281,1060,6,1062,770,0,770,10214,3360,13577
POA3338,..,2147,2147,2812,246,3054,2163,39,2206,2156,10,2163,1091,5,1093,847,0,851,9068,2450,11514
POA3340,..,2066,2066,2805,143,2951,1535,17,1558,1591,3,1600,702,0,706,269,0,275,6909,2239,9148
POA3341,..,102,102,176,3,177,105,0,99,99,0,99,62,0,62,18,0,18,447,103,553
POA3342,..,384,384,524,31,557,217,0,216,208,0,206,101,0,101,39,0,39,1088,417,1507
POA3345,..,93,93,175,4,185,75,0,75,77,0,77,36,0,36,18,0,18,386,98,486
POA3350,..,8088,8088,8038,809,8846,3442,227,3659,3480,86,3568,1467,20,1489,460,19,481,16885,9244,26129
POA3351,..,616,616,1092,41,1132,480,9,487,517,4,525,240,0,236,155,0,155,2481,671,3155
POA3352,..,1175,1175,2158,114,2268,926,22,948,1115,5,1122,578,0,574,267,0,272,5041,1312,6351
POA3355,..,2078,2078,1784,147,1933,694,24,721,483,6,490,199,7,203,117,6,116,3282,2268,5546
POA3356,..,2217,2217,2033,186,2223,916,39,956,649,9,656,269,3,275,128,3,128,3992,2458,6450
POA3357,..,300,300,503,14,521,175,0,178,224,0,227,109,0,109,38,0,38,1054,318,1368
POA3358,..,189,189,353,27,381,196,15,217,243,3,246,113,3,121,32,0,34,943,236,1179
POA3360,..,117,117,134,0,137,41,0,38,31,0,31,20,0,20,8,0,8,227,119,346
POA3361,..,117,117,95,6,103,28,0,28,26,0,26,16,0,16,6,0,6,167,123,290
POA3363,..,465,465,508,30,539,157,0,161,157,0,157,79,0,77,21,0,21,926,500,1421
POA3364,..,231,231,338,17,353,96,0,96,102,0,102,55,0,59,27,0,27,618,244,864
POA3370,..,278,278,301,17,322,112,0,107,57,0,57,33,0,33,17,0,17,517,304,823
POA3371,..,175,175,167,12,174,50,0,50,30,0,30,15,0,15,11,0,11,273,182,451
POA3373,..,346,346,377,27,410,111,3,109,101,0,101,36,0,36,20,0,20,649,377,1018
POA3374,..,62,62,70,0,68,21,0,21,15,0,15,9,0,9,3,0,3,118,63,182
POA3375,..,24,24,43,0,41,11,0,11,3,0,3,13,0,13,6,0,6,71,24,93
POA3377,..,1203,1203,1289,73,1364,439,23,456,370,6,377,172,4,175,63,0,63,2340,1311,3650
POA3378,..,16,16,6,0,13,4,0,4,7,0,7,10,0,10,0,0,0,29,17,43
POA3379,..,104,104,118,6,125,26,0,26,38,0,38,11,0,11,6,0,6,196,110,313
POA3380,..,915,915,892,62,951,300,11,313,230,9,236,110,0,115,56,0,53,1579,1008,2584
POA3381,..,141,141,194,13,204,47,0,48,58,0,57,27,0,27,10,0,10,335,155,490
POA3384,..,60,60,85,6,83,22,0,24,30,0,34,9,0,9,5,0,5,154,64,222
POA3385,..,61,61,94,4,100,24,0,24,18,0,18,13,0,13,5,0,5,154,63,216
POA3387,..,38,38,42,0,41,23,0,23,8,0,8,6,0,6,0,0,0,82,41,116
POA3388,..,67,67,86,0,88,30,0,30,21,0,21,13,0,13,6,0,6,155,66,223
POA3390,..,148,148,127,9,137,47,0,47,40,0,40,20,0,20,14,0,14,245,160,408
POA3391,..,15,15,20,0,26,7,0,7,10,0,10,3,0,3,4,0,4,43,18,63
POA3392,..,88,88,96,3,95,26,0,26,19,0,19,14,0,14,4,0,4,153,97,241
POA3393,..,430,430,376,15,396,122,0,127,97,0,97,41,0,41,19,0,19,660,446,1104
POA3395,..,55,55,50,0,52,12,0,12,8,0,8,10,0,10,5,0,5,91,59,148
POA3396,..,106,106,122,7,131,33,0,33,10,0,10,11,0,11,9,0,9,192,117,309
POA3400,..,2206,2206,1997,169,2160,832,30,864,676,3,677,320,3,322,98,0,98,3921,2411,6331
POA3401,..,290,290,592,12,607,231,3,233,259,0,259,146,0,146,49,0,49,1280,303,1581
POA3407,..,60,60,60,0,57,18,0,18,18,0,18,12,0,12,3,0,3,109,58,173
POA3409,..,130,130,154,5,155,45,0,46,37,0,37,22,0,16,6,0,6,261,132,400
POA3412,..,51,51,38,0,40,17,0,17,18,0,18,3,0,3,6,0,6,77,52,129
POA3413,..,18,18,31,4,33,11,0,11,7,0,7,3,0,3,4,0,4,55,28,75
POA3414,..,280,280,281,16,297,80,0,80,58,0,58,30,0,30,11,0,11,464,301,758
POA3415,..,0,0,6,0,6,5,0,5,3,0,3,0,0,0,0,0,0,11,0,13
POA3418,..,350,350,387,29,417,131,6,140,127,0,127,55,0,56,29,0,27,735,385,1121
POA3419,..,140,140,138,9,152,43,0,43,28,0,28,16,0,16,3,0,3,244,146,395
POA3420,..,18,18,35,4,42,13,0,13,11,0,11,4,0,4,4,0,4,74,23,98
POA3423,..,68,68,94,5,99,24,0,24,13,0,11,4,0,4,7,0,7,136,76,209
POA3424,..,108,108,125,9,138,28,0,28,14,0,14,20,0,20,9,0,9,203,122,320
POA3427,..,435,435,655,44,698,398,6,403,331,0,334,129,0,129,62,0,62,1576,482,2056
POA3428,..,36,36,64,4,73,46,0,46,40,0,40,16,0,16,10,0,10,180,40,218
POA3429,..,3106,3106,4353,269,4617,2497,37,2538,2546,8,2557,995,0,998,371,0,367,10758,3424,14182
POA3430,..,25,25,32,0,28,15,0,16,11,0,11,8,0,8,4,0,4,71,29,96
POA3431,..,243,243,515,21,532,261,4,266,283,0,283,130,0,130,47,0,47,1243,267,1507
POA3432,..,9,9,23,5,24,12,0,12,13,0,13,0,0,0,0,0,0,55,12,68
POA3433,..,8,8,27,0,26,5,0,5,18,0,18,3,0,3,0,0,0,58,8,69
POA3434,..,374,374,742,29,771,341,0,342,393,0,393,174,0,174,71,0,71,1717,411,2127
POA3435,..,240,240,405,18,421,192,0,191,181,0,181,76,0,76,45,0,45,900,253,1156
POA3437,..,696,696,1238,32,1267,600,7,607,870,0,870,389,0,389,121,0,121,3212,742,3949
POA3438,..,134,134,235,6,242,129,0,129,195,0,195,72,0,72,25,0,25,655,142,803
POA3440,..,123,123,238,7,243,92,0,91,150,0,149,63,0,63,20,0,20,559,133,697
POA3441,..,89,89,211,8,220,64,0,69,96,0,96,33,0,33,11,0,11,417,93,515
POA3442,..,636,636,1085,48,1134,488,3,488,551,0,550,218,0,222,59,0,60,2402,687,3094
POA3444,..,1013,1013,1373,71,1448,498,12,509,546,5,548,198,3,200,82,9,86,2697,1107,3809
POA3446,..,120,120,147,10,156,63,0,66,67,0,67,21,0,21,4,0,4,304,126,427
POA3447,..,55,55,79,4,86,25,0,29,24,0,24,3,0,3,5,0,5,144,69,208
POA3448,..,102,102,165,3,174,45,0,45,47,0,47,21,0,21,8,0,8,288,106,392
POA3450,..,1263,1263,1083,81,1166,362,15,382,277,0,275,80,0,80,27,0,27,1832,1366,3204
POA3451,..,636,636,853,63,920,311,12,321,304,0,305,105,0,105,54,0,54,1628,706,2338
POA3453,..,157,157,277,8,289,95,0,95,84,0,84,46,0,46,16,0,16,525,165,686
POA3458,..,284,284,396,20,418,97,0,96,90,0,90,24,0,24,23,0,23,631,302,935
POA3460,..,516,516,466,29,497,133,5,134,81,0,85,24,0,24,14,0,10,719,555,1273
