POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3950,879,510,534,501,655,735,708,407,197,5133
POA3951,169,120,70,81,172,171,179,48,9,1020
POA3953,1517,815,720,910,978,1120,1185,707,249,8194
POA3954,48,46,17,29,60,85,50,24,7,366
POA3956,477,227,243,322,381,552,547,227,60,3037
POA3957,67,30,32,34,38,42,39,22,4,310
POA3958,51,34,16,30,42,43,39,19,4,284
POA3959,178,111,64,111,163,215,246,110,16,1223
POA3960,325,214,167,212,320,464,557,315,136,2715
POA3962,140,70,73,90,107,161,196,89,26,954
POA3964,29,13,15,17,15,47,23,8,3,174
POA3965,18,7,12,15,20,45,60,29,8,220
POA3966,90,48,42,57,81,74,104,37,9,544
POA3967,9,7,11,4,15,20,25,6,5,108
POA3971,581,347,349,367,518,725,764,393,143,4195
POA3975,4587,2301,2540,3453,2419,1453,825,303,163,18048
POA3976,5600,3739,4243,3655,3134,3051,1741,742,190,26082
POA3977,28735,14578,18254,19890,13913,10409,6854,3373,1144,117143
POA3978,12275,4562,9392,8728,3895,2222,1431,600,100,43202
POA3979,70,29,30,50,52,55,58,16,0,365
POA3980,713,409,421,455,496,493,401,141,43,3571
POA3981,1162,649,792,653,679,615,465,279,126,5437
POA3984,1243,658,935,800,928,1126,1067,488,122,7374
POA3987,330,182,170,218,268,248,146,71,10,1644
POA3988,200,111,136,131,126,176,136,65,10,1094
POA3990,12,7,9,8,19,32,19,12,0,118
POA3991,62,43,34,45,58,67,75,23,0,405
POA3992,228,115,144,169,167,198,188,48,16,1281
POA3995,1686,1084,1131,1150,1359,1750,1927,1096,423,11596
POA3996,1037,493,457,663,696,1019,1302,737,247,6649
