POA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA3142,48,19,36,0,0,99,4,0,11,0,0,15,5,5,4,0,0,10,0,3,13,0,0,8,9,3,12,0,0,24,20,14,38,0,0,71,9,11,53,0,0,76,20,24,94,0,0,139,11,15,39,0,0,66,28,29,74,0,0,133,287,98,92,0,0,477,61,23,37,0,0,118,506,230,497,0,0,1239
POA3143,22,11,16,0,3,50,5,0,7,0,0,13,0,4,3,0,0,10,3,3,13,0,0,17,3,10,14,0,0,22,14,8,56,0,0,79,19,16,93,0,0,120,19,17,102,0,0,135,24,12,68,0,0,94,38,26,59,0,0,117,153,72,46,0,0,265,32,23,20,0,0,74,318,188,496,0,3,1005
POA3144,49,23,17,0,0,87,16,4,4,0,0,21,3,8,7,0,0,20,4,5,10,0,0,19,11,4,12,0,0,20,18,6,40,6,0,67,18,5,37,5,0,70,53,20,64,0,0,134,29,13,28,0,0,79,79,37,27,0,0,145,362,74,31,3,0,471,61,20,8,0,0,98,703,217,288,17,0,1224
POA3145,120,39,16,5,0,173,23,5,11,0,0,37,18,4,3,0,0,30,22,10,13,0,0,44,26,10,15,0,0,55,86,44,58,4,0,188,94,41,54,6,0,201,177,104,78,3,3,361,99,71,40,0,0,211,243,128,24,0,0,391,717,127,12,0,0,854,154,39,17,0,0,208,1775,619,338,16,3,2750
POA3146,162,30,32,0,0,218,19,8,4,0,0,30,18,0,9,0,0,23,35,6,11,0,0,53,37,9,22,0,0,67,92,42,75,0,0,206,78,28,107,0,0,218,188,74,182,0,0,445,153,69,81,0,0,303,253,90,75,0,0,419,872,143,54,0,0,1070,150,29,29,0,0,204,2047,529,680,0,0,3262
POA3147,88,13,8,0,0,104,21,4,6,0,0,28,14,3,5,0,0,23,23,6,0,0,0,35,26,4,0,0,0,27,89,14,12,0,0,117,69,21,13,0,0,108,147,48,47,3,0,248,130,33,30,0,0,195,226,49,31,0,0,312,399,50,19,0,0,472,99,11,13,0,0,121,1329,255,193,6,0,1782
POA3148,52,12,3,0,0,72,8,3,3,0,0,12,3,0,4,0,0,10,15,3,3,0,0,28,15,6,3,0,0,27,34,20,36,0,0,85,50,23,58,0,0,135,96,67,47,0,0,213,75,92,24,0,0,193,118,67,28,0,0,211,88,37,3,0,0,136,48,24,10,0,0,82,605,357,229,0,0,1198
POA3149,224,23,46,0,0,293,36,3,8,0,0,55,39,4,10,0,0,53,47,11,9,0,0,63,63,4,25,0,0,94,172,29,46,0,0,253,163,35,65,0,0,256,340,70,134,0,0,542,236,52,123,0,0,409,504,101,151,0,0,756,714,81,63,0,0,860,230,27,42,0,0,297,2759,447,720,0,0,3932
POA3150,471,35,17,0,0,527,90,12,3,0,0,104,80,9,4,0,0,88,109,13,10,0,0,131,113,15,13,0,0,136,323,28,32,0,0,380,400,40,53,0,0,486,716,78,92,0,0,883,530,62,44,0,0,638,973,103,45,0,0,1114,1217,66,25,0,0,1305,410,53,23,0,0,487,5435,498,355,0,0,6288
POA3151,51,16,3,0,0,72,17,0,0,0,0,20,14,0,4,0,0,22,19,9,0,0,0,31,35,3,3,0,0,43,61,13,25,0,0,107,60,27,36,0,0,125,125,32,16,0,0,167,90,18,5,0,0,115,160,24,0,0,0,186,117,13,0,0,0,131,66,16,5,0,0,84,819,184,109,0,0,1111
