POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA3934,2361,177,84,9,0,0,4,2638
POA3936,1012,139,50,0,0,0,6,1210
POA3937,177,18,3,0,0,0,0,198
POA3938,262,20,14,0,0,0,0,299
POA3939,1245,111,45,7,0,0,11,1412
POA3940,265,29,18,0,0,0,5,317
POA3941,1113,97,47,10,5,0,3,1275
POA3942,196,15,3,0,0,0,0,218
POA3943,114,12,3,0,0,0,0,123
POA3944,30,0,0,0,0,0,0,27
POA3945,101,10,9,0,0,0,0,110
POA3946,25,3,0,0,0,0,0,32
POA3950,435,43,28,4,0,0,3,516
POA3951,107,10,4,0,0,0,0,129
POA3953,718,70,38,0,0,0,6,840
POA3954,43,4,0,0,0,0,0,44
POA3956,239,14,13,0,0,0,4,267
POA3957,41,0,0,0,0,0,0,38
POA3958,25,4,0,0,0,0,0,29
POA3959,104,7,4,0,0,0,0,118
POA3960,167,11,9,4,0,0,0,187
POA3962,60,3,5,0,0,0,0,64
POA3964,17,0,0,0,0,0,0,17
POA3965,9,0,0,0,0,0,0,8
POA3966,49,4,0,0,0,0,0,54
POA3967,6,4,0,0,0,0,0,9
POA3971,271,39,17,3,0,0,0,335
POA3975,2893,145,57,42,0,5,8,3150
POA3976,3195,200,106,65,9,5,14,3584
POA3977,15147,1103,688,236,20,9,48,17249
POA3978,6648,435,230,83,4,3,24,7427
POA3979,39,0,0,0,0,0,0,42
POA3980,401,54,20,3,0,0,0,487
POA3981,573,63,42,9,0,0,0,694
POA3984,608,78,37,7,4,0,7,734
POA3987,179,20,15,0,0,0,0,211
POA3988,126,12,3,0,0,0,0,144
POA3990,10,3,0,0,0,0,0,11
POA3991,32,5,0,0,0,0,0,39
POA3992,114,12,8,0,0,0,0,137
POA3995,859,91,53,3,0,0,6,1021
POA3996,541,35,16,5,0,0,5,601
