POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3414,137,120,56,28,742
POA3415,5,0,0,0,23
POA3418,233,122,81,50,1237
POA3419,65,60,26,10,387
POA3420,11,16,8,0,122
POA3423,62,35,13,17,202
POA3424,69,54,26,21,325
POA3427,293,185,50,11,2892
POA3428,59,41,13,5,315
POA3429,2964,1898,793,251,19315
POA3430,30,10,5,0,137
POA3431,462,312,133,9,2350
POA3432,27,13,0,0,88
POA3433,19,12,9,0,110
POA3434,504,314,141,25,3074
POA3435,299,229,79,14,1640
POA3437,1035,670,311,125,5974
POA3438,201,138,94,22,1294
POA3440,227,198,62,10,1156
POA3441,208,168,62,13,881
POA3442,873,744,349,71,4771
POA3444,968,871,396,126,5382
POA3446,136,106,34,3,643
POA3447,80,61,23,0,334
POA3448,117,123,43,10,563
POA3450,766,835,548,272,4378
POA3451,667,540,226,52,3265
POA3453,232,180,77,15,1030
POA3458,347,299,140,34,1475
POA3460,406,322,130,60,1669
POA3461,608,561,184,35,2748
POA3462,148,158,48,4,688
POA3463,373,375,167,25,1535
POA3464,95,102,35,0,527
POA3465,756,808,463,129,4359
POA3467,88,141,43,20,606
POA3468,27,38,15,0,136
POA3469,40,32,21,5,148
POA3472,152,127,78,16,657
POA3475,42,41,18,0,168
POA3477,107,79,39,3,415
POA3478,195,212,127,59,1126
POA3480,179,111,62,22,794
POA3482,24,13,9,3,90
POA3483,69,54,26,5,411
POA3485,29,23,6,8,132
POA3487,7,6,3,0,38
POA3488,14,0,5,0,36
POA3489,0,4,0,0,21
POA3490,102,84,57,34,588
POA3491,14,12,3,0,63
POA3494,49,24,8,0,246
POA3496,512,325,136,32,2807
POA3498,407,277,131,29,2640
POA3500,2210,1652,806,349,15231
POA3501,168,77,37,10,956
POA3505,400,231,110,30,2161
POA3506,0,0,0,0,10
POA3507,19,24,4,0,90
POA3509,12,11,6,5,82
POA3512,30,18,10,0,139
POA3515,151,118,39,5,1152
POA3516,78,53,23,7,349
POA3517,138,113,37,33,660
POA3518,155,115,63,10,618
POA3520,23,10,12,4,62
POA3521,61,53,18,11,396
POA3522,39,28,14,4,168
POA3523,465,386,230,65,2043
POA3525,146,118,59,35,649
POA3527,83,40,26,23,332
POA3529,10,6,0,0,44
POA3530,18,16,4,0,65
POA3531,14,15,0,5,87
POA3533,54,57,14,8,309
POA3537,106,94,46,37,531
POA3540,25,22,8,3,99
POA3542,4,11,6,0,46
POA3544,19,25,12,3,101
POA3546,35,21,12,5,150
POA3549,188,152,54,29,1393
POA3550,3377,2713,1421,660,21761
POA3551,2799,1930,722,131,17245
POA3555,1400,1249,830,419,9988
POA3556,964,788,336,106,6225
POA3557,90,49,27,5,438
POA3558,81,55,52,12,444
POA3559,61,39,30,3,267
POA3561,375,260,165,76,1940
POA3562,33,21,11,0,139
POA3563,75,51,23,10,360
POA3564,1355,1012,542,232,7902
POA3565,12,8,3,0,61
POA3566,38,36,20,0,228
POA3567,49,29,15,4,242
POA3568,206,227,108,36,1248
POA3570,108,70,24,6,427
POA3571,22,17,11,6,140
POA3572,12,8,3,0,67
POA3573,25,30,6,0,156
POA3575,69,53,21,3,377
POA3576,3,7,0,0,24
POA3579,460,408,168,72,2389
POA3580,90,87,38,5,453
POA3581,15,6,11,0,64
POA3583,11,4,8,0,78
POA3584,93,59,39,8,537
POA3585,703,506,301,134,4952
POA3586,94,49,3,0,352
POA3588,26,21,4,0,153
POA3589,22,19,6,3,146
POA3590,35,23,4,0,162
POA3591,14,11,0,0,67
POA3594,43,25,11,5,231
POA3595,64,24,11,3,269
POA3596,8,7,5,0,49
POA3597,38,23,7,0,187
POA3599,28,15,0,0,76
POA3607,19,8,0,0,81
POA3608,270,252,111,56,1371
POA3610,141,118,52,12,696
POA3612,231,149,70,28,869
POA3614,77,53,11,0,454
POA3616,433,306,188,61,2615
POA3617,15,11,4,0,67
POA3618,57,46,10,3,310
POA3620,638,522,269,127,3671
POA3621,168,143,57,27,1036
POA3622,49,42,5,4,237
POA3623,64,76,26,13,385
POA3624,44,25,16,5,219
POA3629,659,523,297,133,4279
POA3630,1922,1445,812,362,13905
POA3631,1036,642,291,109,6546
POA3633,63,29,6,0,277
POA3634,164,103,34,11,869
POA3635,52,37,9,0,251
POA3636,448,324,190,59,2443
POA3637,43,23,11,3,272
