POA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA3089,63,3,125,2289,3196,1397,890,2040,271,10080
POA3090,84,0,107,463,598,278,191,551,66,2147
POA3091,11,4,21,291,353,201,155,305,64,1367
POA3093,99,14,150,673,1008,445,305,756,124,3308
POA3094,57,6,148,1648,2459,1142,679,1245,221,7393
POA3095,156,50,366,5028,7570,3781,2117,3828,671,22999
POA3096,49,0,57,377,449,259,135,335,39,1589
POA3097,0,0,13,263,405,218,154,159,77,1276
POA3099,21,6,46,830,1259,749,444,628,146,4066
POA3101,366,101,786,5106,6265,2661,1560,4315,890,20798
POA3102,65,4,163,1323,1679,769,451,1040,170,5431
POA3103,286,53,624,2852,3691,1873,1092,3185,440,13134
POA3104,269,39,622,3884,4891,2457,1607,4106,557,17505
POA3105,218,31,512,2071,2543,1210,849,2528,309,9518
POA3106,402,91,696,2794,3796,1793,1418,3958,577,14347
POA3107,313,38,613,2373,3130,1543,1155,3175,413,11794
POA3108,430,75,993,4238,5311,2554,1712,6800,941,21558
POA3109,527,60,989,4987,6341,3373,2300,7461,874,25340
POA3111,373,55,584,2188,2842,1454,969,2732,387,10563
POA3113,33,9,79,1565,2267,1161,730,1058,214,6992
POA3114,23,0,62,767,922,511,347,519,95,3164
POA3115,10,3,43,690,1010,491,336,594,94,3213
POA3116,77,4,165,2080,2815,1182,880,2159,366,9474
POA3121,196,44,411,8086,9574,2383,1139,5761,1567,28515
POA3122,186,24,409,5135,6558,2181,1056,3742,897,19579
POA3123,153,27,319,3160,4252,1530,805,2415,467,12628
POA3124,574,94,1008,4346,5741,2535,1455,3754,664,18498
POA3125,279,37,545,2789,3363,1384,869,3933,787,13128
POA3126,184,24,323,1520,2036,949,579,1238,222,6539
POA3127,207,53,494,3647,5177,2321,1158,2812,520,15630
POA3128,339,121,673,3914,4896,1994,1196,6613,1408,20017
POA3129,196,27,435,3255,4274,1869,1127,3829,522,14882
POA3130,560,122,1241,6030,8130,3728,2193,6283,977,27336
POA3131,454,114,895,3863,5324,2433,1512,5125,1000,19262
POA3132,130,26,326,3052,4487,1810,1074,2978,421,13818
POA3133,315,185,758,3896,5195,2657,1668,4709,796,18925
POA3134,425,134,863,6393,8400,3715,2200,6646,1159,28513
POA3135,175,61,476,3675,5239,2290,1398,3438,662,16708
POA3136,549,193,1221,8010,11459,5020,3120,8669,1532,37816
POA3137,201,17,346,2636,3499,1450,929,3019,389,11925
POA3138,166,36,346,4020,5448,2361,1578,4391,692,18489
POA3139,60,20,158,2261,3406,1618,1232,2454,511,11485
POA3140,193,33,425,3193,4255,1845,1296,3217,564,14376
POA3141,140,30,360,6356,7487,1804,920,5038,1669,23266
POA3142,194,74,514,2927,3312,1230,760,2436,762,11428
POA3143,70,31,218,2116,2715,885,466,1623,381,8187
POA3144,197,30,419,2277,2851,1159,691,1799,362,9147
POA3145,349,90,680,4645,6047,2409,1409,4551,820,19880
POA3146,267,30,548,5340,7101,2945,1622,3927,679,21616
POA3147,287,52,489,2699,3736,1666,882,2843,502,12322
POA3148,87,8,181,1564,2187,847,544,2449,460,8044
POA3149,505,83,1186,6047,7978,3953,2516,7646,1194,29344
POA3150,1260,378,2567,10416,13250,6958,4683,15420,2477,53198
POA3151,156,14,372,1820,2371,1108,769,2764,383,9214
POA3152,620,179,1139,6070,7878,3588,2552,7828,1110,29027
POA3153,278,180,612,3615,4832,2034,1369,4745,983,17577
POA3154,70,9,115,747,1092,506,345,797,153,3634
POA3155,267,42,517,4044,5632,2399,1554,5035,967,19623
POA3156,349,82,670,6900,9235,4113,2683,7624,1225,31780
POA3158,22,3,56,1183,1890,890,502,863,170,5497
POA3159,5,0,20,425,714,332,234,277,111,2090
POA3160,27,5,73,1607,2558,1187,663,1090,251,7355
POA3161,316,77,580,3405,4364,1518,831,3368,756,14245
POA3162,370,65,649,3664,4525,1754,946,3411,658,14950
POA3163,347,119,718,6214,8807,3197,1676,6922,1264,28081
POA3165,404,47,830,5314,7155,3055,1862,5782,841,24008
POA3166,390,35,699,4628,6010,2395,1410,5574,910,20938
POA3167,133,10,271,1633,2179,999,664,2402,338,8214
POA3168,243,131,525,3905,4158,1359,972,7735,1832,19946
POA3169,377,35,575,3113,3903,1746,1334,6779,963,17832
POA3170,257,82,519,3196,4202,1899,1460,4814,790,16370
POA3171,364,47,614,3033,3156,1481,1167,8794,1329,18954
POA3172,314,50,552,3616,4344,1925,1344,7207,879,19326
POA3173,280,29,456,4510,5164,2415,1771,9299,958,24118
POA3174,546,72,868,5308,6118,2626,2193,14609,2318,33176
POA3175,695,120,1233,6862,7926,3440,3181,18462,3996,43865
POA3177,104,26,200,1535,1647,727,666,4043,937,9564
POA3178,290,36,554,6191,7746,3414,2279,7491,830,27949
POA3179,29,6,64,1053,1359,602,435,1362,198,5006
POA3180,56,4,129,1406,1765,729,593,1652,233,6368
POA3181,200,210,555,5113,5925,1428,663,3700,1282,18112
POA3182,89,24,184,5259,6765,1624,761,4561,1801,20762
POA3183,95,23,225,4063,4990,1413,719,3034,995,15208
POA3184,60,22,147,3509,4646,1349,614,2204,858,13172
POA3185,146,22,288,2850,3782,1202,662,2196,450,11144
POA3186,439,141,958,4544,6019,2667,1533,3976,889,19635
POA3187,420,117,854,3096,4043,1851,1046,2941,604,13592
POA3188,164,28,394,3613,4817,2121,1150,2974,656,15323
POA3189,64,17,161,1127,1491,618,380,1231,280,5121
POA3190,161,32,291,2270,3137,1216,672,2107,391,9797
POA3191,297,59,488,2077,2899,1279,643,1857,428,9192
POA3192,494,98,954,4309,6087,2510,1313,4679,885,19783
POA3193,223,45,631,4004,5344,2652,1370,2826,555,16744
POA3194,184,29,403,2613,3623,1373,766,2396,379,11144
POA3195,434,56,863,7005,9452,4112,2230,6634,955,30392
POA3196,421,50,718,4804,6792,2627,1678,5058,1073,22036
POA3197,131,21,252,2202,2961,1203,759,2532,379,10036
POA3198,183,54,385,2912,4166,1681,1071,3392,963,14187
POA3199,668,346,1559,9182,13266,5690,3749,11155,3318,46362
POA3200,134,12,194,804,1001,439,367,1525,558,4692
POA3201,251,78,423,3653,4682,1778,1239,5467,948,17764
POA3202,18,14,43,485,667,250,143,555,147,2250
POA3204,355,47,665,6222,8343,3468,1888,6132,1011,27069
POA3205,133,62,278,2512,3221,1008,482,2318,671,10211
POA3206,80,23,231,2018,2891,1092,596,1432,331,8353
POA3207,96,24,240,3643,4924,1580,887,3083,1091,15199
POA3211,7,0,16,216,259,142,113,240,123,1095
POA3212,172,21,291,2972,4023,1819,1400,3628,1706,15553
POA3213,22,7,45,729,1022,502,393,991,202,3836
POA3214,245,64,453,3413,4157,1829,1655,7180,1970,20197
POA3215,466,77,839,3565,4998,2188,1549,5193,994,18481
POA3216,977,220,1953,10506,14543,6597,4340,11538,2273,49798
POA3217,126,13,168,3352,4921,1893,1291,3371,654,15490
POA3218,101,24,239,2619,3900,1606,944,2563,540,12188
POA3219,287,61,561,3338,4730,2009,1367,4732,1182,17357
POA3220,156,31,362,3215,4449,1961,1178,2972,718,14502
POA3221,4,0,12,152,192,107,67,95,31,644
POA3222,246,109,522,2952,4520,2223,1581,3357,726,15363
POA3223,98,90,314,1392,2357,1337,939,1786,721,8532
POA3224,174,136,439,2440,3393,1728,1193,3044,689,12481
POA3225,142,18,298,838,1546,873,464,750,323,4787
POA3226,213,48,424,2868,4676,2309,1372,2271,672,14168
POA3227,38,17,112,905,1473,767,414,546,308,4409
POA3228,177,80,420,3985,6216,2836,1744,3105,989,18874
POA3230,60,9,102,496,941,447,288,395,179,2751
POA3231,13,5,33,233,521,263,119,150,112,1402
POA3232,29,16,56,209,328,167,105,278,120,1195
POA3233,18,11,69,372,603,336,230,321,216,2068
POA3234,0,0,0,43,72,24,18,26,15,202
POA3235,6,0,6,67,120,60,58,56,64,425
POA3236,0,0,4,36,70,37,23,27,33,222
POA3237,0,0,0,32,65,34,34,32,52,250
POA3238,0,0,4,29,73,38,36,19,20,210
POA3239,0,0,0,70,113,50,50,85,55,420
