POA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA3934,149,1964,3252,1019,582,6963,58,7022
POA3936,186,1877,2271,645,332,5310,74,5388
POA3937,6,127,250,110,77,577,6,582
POA3938,24,382,600,200,97,1308,27,1334
POA3939,328,2535,2399,736,396,6393,107,6505
POA3940,192,1183,680,161,66,2286,60,2341
POA3941,168,1838,2315,622,301,5237,80,5320
POA3942,21,367,549,138,51,1129,16,1144
POA3943,21,302,356,109,34,833,11,839
POA3944,3,110,151,41,24,327,5,328
POA3945,5,83,168,79,63,398,5,401
POA3946,0,31,47,22,14,118,0,117
POA3950,100,680,755,282,186,2001,36,2039
POA3951,3,63,142,75,72,355,3,354
POA3953,147,1050,1186,501,289,3176,47,3216
POA3954,0,28,66,28,23,143,0,144
POA3956,19,423,501,173,119,1233,29,1260
POA3957,0,23,56,13,14,108,0,109
POA3958,0,22,36,21,22,99,0,96
POA3959,0,149,200,78,47,476,9,484
POA3960,45,458,385,158,95,1144,22,1164
POA3962,15,152,138,55,33,393,8,406
POA3964,0,19,36,16,4,71,9,77
POA3965,0,40,47,8,5,99,0,106
POA3966,0,55,83,46,25,209,3,217
POA3967,0,11,21,5,12,48,0,48
POA3971,85,563,663,255,158,1727,37,1764
POA3975,105,1146,2375,821,429,4867,72,4940
POA3976,342,2378,3169,1231,642,7760,158,7918
POA3977,996,10188,16386,5537,2888,35995,480,36470
POA3978,131,3255,6928,1798,724,12841,162,13009
POA3979,0,18,45,27,20,121,0,121
POA3980,14,225,512,265,180,1200,8,1208
POA3981,51,425,735,344,269,1824,24,1855
POA3984,67,883,1162,458,274,2852,67,2914
POA3987,3,71,183,116,125,506,11,510
POA3988,3,94,136,93,76,393,7,403
POA3990,0,5,15,12,8,43,0,45
POA3991,9,37,53,28,21,145,6,146
POA3992,4,144,211,85,42,487,17,502
POA3995,327,1919,1682,550,305,4790,95,4886
POA3996,66,993,1214,285,115,2676,35,2709
