POA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,4,0,12,0,30
POA3890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,3,0,4,0,19,3,49
POA3891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,20
POA3892,0,3,0,5,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,19,5,7,6,17,0,97,6,182
POA3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,9
POA3895,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,4,0,0,0,9,0,28
POA3896,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,4,0,3,5,3,0,20,0,49
POA3898,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,5,0,5,18,4,0,14,0,7,0,15,0,26,7,96
POA3900,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,5,0,0,0,0,0,7,5,30
POA3902,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,9,0,8,0,4,0,44,6,75
POA3903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,10,0,9,0,16,3,77,7,146
POA3904,0,6,0,23,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,3,5,30,31,7,34,3,21,5,48,5,205,19,403
POA3909,0,7,0,30,0,0,0,0,0,0,0,0,0,4,43,50,0,0,0,0,0,0,0,0,0,16,11,34,85,67,4,118,8,64,4,122,28,655,65,1229
POA3910,0,8,0,128,0,0,0,0,0,4,5,0,4,10,49,67,3,0,0,0,0,0,0,3,0,16,16,38,547,102,10,336,53,193,30,159,31,737,74,2274
POA3911,0,0,0,25,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,3,0,6,98,32,4,60,5,33,0,28,4,117,11,389
POA3912,0,8,0,93,3,0,0,8,6,0,0,3,0,3,27,51,0,0,0,0,0,0,0,0,0,15,7,30,345,69,10,281,36,132,19,126,19,605,38,1686
POA3913,0,0,0,24,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,3,63,23,3,73,0,33,4,39,9,118,8,375
POA3915,0,3,0,44,0,0,0,4,0,0,0,3,0,6,32,42,0,0,0,0,0,0,0,0,0,20,21,42,184,36,14,138,24,85,10,78,19,510,57,1150
POA3916,0,6,0,48,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,6,18,13,3,24,5,13,0,31,11,67,5,188
POA3918,0,0,0,22,0,0,0,3,0,0,0,0,0,0,18,28,0,0,0,0,0,0,0,0,0,7,9,13,79,33,5,68,4,50,5,38,11,258,30,587
POA3919,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,3,0,9,54,23,0,66,6,33,0,38,9,101,15,342
POA3920,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,0,7,0,0,0,0,3,35
POA3921,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,5,4,20
POA3922,0,11,0,74,0,0,0,0,0,7,0,0,5,6,43,56,0,0,0,0,0,0,0,0,0,13,12,31,118,88,14,139,23,86,18,124,37,722,67,1453
POA3923,0,4,0,13,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,4,5,10,11,14,0,11,5,11,0,17,0,74,14,153
POA3925,0,9,0,33,0,0,0,0,0,0,0,0,0,3,17,20,0,0,0,0,0,0,0,0,0,3,6,17,81,38,5,79,7,37,7,58,8,243,23,581
POA3926,0,16,0,66,0,0,0,0,0,3,0,3,0,0,16,31,0,0,0,0,0,0,0,0,0,0,3,3,51,39,5,48,11,37,3,34,9,223,21,494
POA3927,0,5,0,35,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,3,11,22,0,33,0,22,8,24,4,121,15,269
POA3928,0,7,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,10,6,6,0,6,0,29,3,71
POA3929,0,19,0,60,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,3,0,3,4,21,0,15,0,17,5,36,4,97,7,202
POA3930,0,48,0,339,5,0,0,5,0,0,0,0,0,10,30,48,0,0,0,4,0,0,0,0,0,23,6,39,226,87,12,277,30,152,22,193,19,924,42,1973
